keyword,count
city,162
impact,137
cities,118
china,104
urbanization,102
health,100
children,97
prevalence,94
model,88
urban,81
risk,78
management,77
particulate matter,75
mortality,66
epidemiology,65
pollution,65
air-pollution,64
quality,64
climate-change,62
source apportionment,56
pm2.5,55
exposure,54
infection,49
impacts,49
disease,48
association,48
patterns,44
water,43
obesity,43
temperature,42
emissions,41
hiv,41
air pollution,40
united-states,39
systems,38
sustainability,38
adolescents,37
land-use,37
biodiversity,37
prevention,37
system,36
heavy-metals,36
climate change,36
contamination,33
smart city,33
community,33
performance,32
trends,32
climate,32
growth,31
