rank,article
1,TripImputor: Real-Time Imputing Taxi Trip Purpose Leveraging Multi-Sourced Urban Data
2,Carbon emissions and their drivers for a typical urban economy from multiple perspectives: A case analysis for Beijing city
3,An elliptic curve cryptography based lightweight authentication scheme for smart grid communication
4,"Urban sprawl and the ""olive' landscape: sustainable land management for ""crisis' cities"
5,Sources and Secondary Production of Organic Aerosols in the Northeastern United States during WINTER
6,Cleaner fuels for ships provide public health benefits with climate tradeoffs
7,"Association of Hypertension, Body Mass Index, and Waist Circumference with Fluoride Intake; Water Drinking in Residents of Fluoride Endemic Areas, Iran"
8,Experimental investigation of phase change materials for insulation of residential buildings
9,Structural Response of the Metro Tunnel under Local Dynamic Water Environment in Loess Strata
10,"Performance of a Low-Cost Earthquake Early Warning System (P-Alert) and Shake Map Production during the 2018 M-w 6.4 Hualien, Taiwan, Earthquake"
