0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2.0,111.0,173.0,150.0,94.0,84.0,16.0,189.0,64.0,124.0,68.0,54.0,38.0,50.0,77.0,79.0,66.0,70.0,47.0,25.0,73.0,18.0,58.0,46.0,29.0,43.0,35.0,22.0,23.0,36.0,7.0,53.0,35.0,54.0,14.0,53.0,43.0,20.0,34.0,46.0,49.0,45.0,16.0,24.0,26.0,9.0,32.0,51.0,31.0,41.0
111.0,2.0,70.0,106.0,137.0,142.0,57.0,71.0,50.0,89.0,48.0,90.0,22.0,47.0,22.0,58.0,45.0,29.0,52.0,17.0,42.0,17.0,55.0,45.0,24.0,34.0,17.0,23.0,54.0,21.0,6.0,23.0,33.0,27.0,7.0,32.0,26.0,73.0,18.0,44.0,37.0,58.0,11.0,33.0,34.0,17.0,14.0,34.0,38.0,13.0
173.0,70.0,162.0,207.0,72.0,48.0,26.0,100.0,61.0,124.0,43.0,62.0,42.0,56.0,27.0,93.0,37.0,100.0,11.0,25.0,110.0,18.0,133.0,27.0,52.0,21.0,26.0,27.0,8.0,84.0,12.0,11.0,18.0,18.0,9.0,30.0,14.0,8.0,37.0,7.0,13.0,33.0,20.0,42.0,8.0,5.0,95.0,22.0,102.0,23.0
150.0,106.0,207.0,78.0,62.0,72.0,12.0,65.0,57.0,78.0,95.0,68.0,36.0,49.0,37.0,73.0,40.0,47.0,23.0,21.0,90.0,26.0,100.0,39.0,35.0,17.0,21.0,13.0,23.0,33.0,16.0,29.0,17.0,39.0,9.0,36.0,37.0,18.0,19.0,31.0,14.0,16.0,20.0,24.0,9.0,13.0,13.0,42.0,65.0,22.0
94.0,137.0,72.0,62.0,26.0,137.0,45.0,104.0,110.0,49.0,81.0,42.0,81.0,46.0,36.0,39.0,46.0,102.0,47.0,43.0,19.0,23.0,14.0,79.0,40.0,43.0,29.0,63.0,31.0,43.0,21.0,5.0,57.0,33.0,3.0,43.0,8.0,41.0,55.0,31.0,12.0,26.0,12.0,41.0,39.0,24.0,49.0,21.0,17.0,9.0
84.0,142.0,48.0,72.0,137.0,2.0,67.0,52.0,89.0,46.0,65.0,53.0,33.0,42.0,23.0,27.0,29.0,26.0,57.0,17.0,19.0,15.0,28.0,49.0,28.0,22.0,15.0,28.0,37.0,23.0,19.0,12.0,29.0,53.0,6.0,30.0,19.0,69.0,37.0,61.0,18.0,41.0,8.0,36.0,37.0,11.0,7.0,29.0,27.0,8.0
16.0,57.0,26.0,12.0,45.0,67.0,60.0,13.0,53.0,11.0,25.0,17.0,41.0,17.0,8.0,4.0,14.0,7.0,19.0,18.0,5.0,8.0,15.0,54.0,30.0,6.0,15.0,11.0,31.0,4.0,7.0,3.0,17.0,17.0,4.0,5.0,10.0,24.0,28.0,17.0,22.0,10.0,19.0,14.0,16.0,16.0,1.0,10.0,7.0,3.0
189.0,71.0,100.0,65.0,104.0,52.0,13.0,128.0,84.0,63.0,90.0,23.0,95.0,56.0,54.0,22.0,38.0,54.0,28.0,28.0,22.0,12.0,11.0,58.0,35.0,75.0,19.0,80.0,19.0,15.0,44.0,9.0,31.0,42.0,6.0,22.0,3.0,12.0,40.0,14.0,23.0,24.0,15.0,16.0,44.0,8.0,17.0,32.0,11.0,49.0
64.0,50.0,61.0,57.0,110.0,89.0,53.0,84.0,70.0,49.0,81.0,19.0,83.0,49.0,27.0,21.0,58.0,72.0,33.0,49.0,15.0,31.0,29.0,52.0,22.0,20.0,31.0,55.0,21.0,32.0,21.0,18.0,43.0,52.0,8.0,17.0,10.0,7.0,43.0,23.0,29.0,9.0,23.0,59.0,17.0,20.0,28.0,18.0,18.0,11.0
124.0,89.0,124.0,78.0,49.0,46.0,11.0,63.0,49.0,62.0,42.0,62.0,9.0,42.0,45.0,61.0,43.0,84.0,38.0,22.0,70.0,22.0,51.0,32.0,25.0,10.0,17.0,12.0,13.0,42.0,8.0,90.0,26.0,17.0,39.0,27.0,53.0,17.0,28.0,9.0,57.0,27.0,26.0,33.0,11.0,5.0,51.0,14.0,42.0,24.0
