keyword,count
impact,218
china,130
model,128
air pollution,125
urbanization,120
health,109
management,97
prevalence,93
risk,92
climate change,89
urban,88
pollution,83
heavy metal,81
child,81
system,78
mortality,77
association,72
particulate matter,72
exposure,70
quality,64
ecosystem service,63
pattern,63
temperature,62
land use,58
pm2.5,58
performance,57
source apportionment,56
area,56
smart city,52
sustainability,52
growth,48
soil,48
united states,47
population,47
epidemiology,47
risk factor,46
consumption,45
dynamic,45
energy,43
risk assessment,43
policy,43
design,42
emission,41
contamination,41
gis,40
woman,40
governance,40
sediment,39
space,39
behavior,39
