keyword,count
city,47
urbanization,46
urban planning,43
cities,33
impact,31
management,30
urban,30
model,30
ecosystem services,29
china,27
sustainability,25
climate-change,21
land-use,21
gis,21
biodiversity,21
risk,19
quality,18
health,17
framework,17
impacts,16
policy,16
patterns,16
design,13
governance,13
transport,13
remote sensing,13
climate change,13
accessibility,13
growth,12
dynamics,12
built environment,12
behavior,12
challenges,12
systems,12
conservation,12
ecology,12
obstetric care,12
heat-island,11
physical-activity,11
indicators,11
simulation,11
vegetation,11
vulnerability,11
sprawl,11
sustainable development,10
optimization,10
landscape,10
resilience,10
green space,10
area,10
